date,symbol,sector,open,high,low,close,adj_close,volume
2024-08-21,BETA,Finance,58.56,59.28,56.70,57.41,57.40,1421387
2023-10-11,GAMMA,Healthcare,49.25,50.06,47.22,48.01,48.00,1475387
2024-09-11,DELTA,Energy,75.93,77.08,74.25,75.39,75.38,1430370
2024-06-13,ALPHA,Technology,141.81,145.11,140.14,143.42,143.39,2357567
2023-02-24,BETA,Finance,66.57,68.95,65.68,68.04,68.04,1618465
2024-11-01,ALPHA,Technology,103.10,105.53,101.38,103.80,103.78,2320619
2024-08-06,DELTA,Energy,95.53,97.68,92.20,94.33,94.31,1264739
2023-05-23,GAMMA,Healthcare,46.93,47.74,44.98,45.76,45.76,1794694
2024-01-03,DELTA,Energy,66.72,68.47,66.10,67.85,67.84,1268117
2023-08-28,DELTA,Energy,66.86,69.32,65.61,68.04,68.04,1513029
2024-01-05,GAMMA,Healthcare,42.80,44.14,42.06,43.39,43.38,1481680
2024-01-29,BETA,Finance,71.44,73.15,70.79,72.50,72.49,1226667
2023-01-06,DELTA,Energy,57.87,60.26,57.27,59.64,59.64,1752946
2024-09-17,ALPHA,Technology,104.17,105.27,102.37,103.46,103.44,1794351
2024-01-01,GAMMA,Healthcare,42.24,42.98,41.57,42.30,42.30,1714060
2024-04-03,OMEGA,Consumer,108.58,109.49,106.15,107.04,107.02,1575403
2024-03-18,GAMMA,Healthcare,41.69,42.13,41.05,41.49,41.48,1360234
2024-04-08,BETA,Finance,72.41,74.58,71.50,73.66,73.65,1588616
2024-10-23,BENCH,Benchmark,151.04,153.26,149.21,151.43,151.40,1352253
2023-09-15,ALPHA,Technology,106.29,110.51,105.96,110.17,110.16,1381742
2024-04-25,OMEGA,Consumer,107.78,108.73,104.69,105.62,105.61,2141477
2024-12-17,GAMMA,Healthcare,65.92,66.65,64.58,65.30,65.28,1503395
2024-08-23,BETA,Finance,57.65,58.23,57.23,57.81,57.80,1656781
2023-06-07,ALPHA,Technology,92.32,93.86,88.73,90.24,90.24,1547234
2023-12-14,DELTA,Energy,72.41,74.37,69.58,71.52,71.51,1398616
2023-11-23,DELTA,Energy,67.78,71.62,66.84,70.63,70.62,1145182
2024-04-15,ALPHA,Technology,103.75,108.83,102.42,107.46,107.44,1760973
2024-08-22,OMEGA,Consumer,106.12,108.96,104.49,107.31,107.30,1199561
2023-05-01,DELTA,Energy,87.89,88.53,85.56,86.19,86.19,1526068
2023-09-01,DELTA,Energy,69.59,70.12,68.13,68.65,68.65,1405835
2023-03-08,DELTA,Energy,63.15,65.74,61.68,64.24,64.24,1131985
2024-08-02,ALPHA,Technology,120.44,121.97,115.78,117.27,117.25,1450886
2024-01-22,DELTA,Energy,71.14,73.56,69.64,72.05,72.04,1523443
2023-02-07,BETA,Finance,62.89,64.64,62.35,64.09,64.09,1418345
2023-10-20,BENCH,Benchmark,147.67,148.66,146.17,147.16,147.15,1465565
2023-09-05,BETA,Finance,69.43,70.51,68.30,69.37,69.37,1489650
2023-05-03,BETA,Finance,93.33,94.82,90.34,91.81,91.81,1638595
2024-01-17,ALPHA,Technology,107.88,110.73,105.86,108.69,108.67,1610585
2023-03-24,GAMMA,Healthcare,48.25,49.14,47.09,47.97,47.97,1392721
2023-05-19,OMEGA,Consumer,82.23,83.03,81.26,82.06,82.06,1418287
2023-03-24,OMEGA,Consumer,81.86,84.31,80.36,82.80,82.80,1992192
2023-05-17,GAMMA,Healthcare,46.93,47.72,45.78,46.57,46.57,2525108
2023-07-07,OMEGA,Consumer,76.28,76.83,74.54,75.08,75.08,1391824
2024-06-28,BENCH,Benchmark,159.17,160.69,157.78,159.30,159.27,2286501
2023-12-18,BENCH,Benchmark,140.27,141.71,138.44,139.88,139.87,1499641
2024-03-07,BENCH,Benchmark,127.53,129.78,126.25,128.49,128.47,2095744
2023-10-13,DELTA,Energy,79.44,81.43,77.14,79.12,79.11,1416208
2023-07-18,BETA,Finance,57.74,58.76,57.28,58.29,58.29,1178313
2023-02-09,GAMMA,Healthcare,41.82,42.41,41.04,41.62,41.62,1546373
2024-11-15,ALPHA,Technology,117.69,121.50,116.43,120.21,120.18,1292369
2024-05-23,GAMMA,Healthcare,47.33,48.52,46.68,47.86,47.85,1278966
2024-08-02,OMEGA,Consumer,114.56,116.03,113.44,114.91,114.89,1609248
2024-05-16,GAMMA,Healthcare,47.35,47.90,46.89,47.43,47.42,1411116
2024-06-13,OMEGA,Consumer,119.82,121.01,118.60,119.79,119.77,1198168
2024-06-28,OMEGA,Consumer,129.61,131.87,127.93,130.18,130.16,1238467
2023-06-15,BETA,Finance,70.85,72.45,70.40,71.99,71.99,1525204
2023-08-18,GAMMA,Healthcare,42.35,43.44,41.65,42.73,42.72,1575851
2024-04-26,ALPHA,Technology,117.54,118.66,114.34,115.43,115.42,1826752
2023-05-05,ALPHA,Technology,105.07,107.13,101.27,103.30,103.30,2116594
2024-05-14,ALPHA,Technology,121.42,122.75,118.83,120.15,120.13,1304608
2023-03-08,GAMMA,Healthcare,43.35,43.80,42.96,43.41,43.41,1789057
2023-03-31,ALPHA,Technology,108.90,111.32,107.42,109.83,109.83,1746944
2024-10-10,BENCH,Benchmark,143.99,147.46,142.67,146.12,146.09,1547653
2023-12-06,ALPHA,Technology,102.52,105.11,99.25,101.83,101.82,1427994
2024-09-03,OMEGA,Consumer,103.34,105.31,101.76,103.71,103.69,1583768
2023-09-15,DELTA,Energy,70.24,72.05,68.91,70.71,70.71,1590069
2024-07-15,BENCH,Benchmark,155.94,157.24,153.87,155.17,155.14,1372077
2023-07-07,BENCH,Benchmark,111.90,112.75,110.39,111.25,111.24,1389445
2023-12-18,DELTA,Energy,71.62,72.77,68.73,69.84,69.83,1196352
2024-12-24,ALPHA,Technology,129.91,134.31,128.37,132.73,132.70,1563594
2024-11-21,BENCH,Benchmark,168.16,170.16,165.66,167.66,167.62,1558420
2024-03-12,DELTA,Energy,71.45,73.19,70.58,72.31,72.30,1144875
2024-04-17,BENCH,Benchmark,141.76,142.85,140.16,141.24,141.22,1500122
2024-09-11,GAMMA,Healthcare,50.85,52.60,50.03,51.77,51.76,1323035
2024-12-05,DELTA,Energy,96.42,97.71,94.45,95.73,95.71,1551757
2024-10-03,GAMMA,Healthcare,49.01,51.23,48.81,51.02,51.01,1387791
2023-07-25,GAMMA,Healthcare,39.40,40.39,38.77,39.76,39.75,1406502
2023-07-03,ALPHA,Technology,79.74,81.01,76.59,77.83,77.83,1420828
2024-07-19,DELTA,Energy,97.37,100.73,96.11,99.44,99.42,2047656
2024-11-26,BENCH,Benchmark,170.92,173.64,169.56,172.28,172.24,1501803
2023-05-17,BENCH,Benchmark,133.03,134.38,129.31,130.64,130.64,1538787
2024-01-04,BENCH,Benchmark,133.45,134.38,131.57,132.49,132.48,1887218
2024-01-15,BETA,Finance,78.96,80.01,77.74,78.79,78.79,1932416
2023-12-29,ALPHA,Technology,103.01,107.94,101.71,106.59,106.58,1631848
2024-02-01,DELTA,Energy,69.32,70.18,68.56,69.42,69.41,1387240
2024-08-01,ALPHA,Technology,121.19,123.34,117.32,119.44,119.42,2017002
2024-11-29,ALPHA,Technology,121.13,124.64,119.87,123.36,123.33,1360758
2024-03-08,BENCH,Benchmark,128.84,130.00,127.45,128.61,128.59,1535742
2024-12-19,ALPHA,Technology,128.42,132.18,125.38,129.12,129.09,1499869
2023-06-27,BETA,Finance,66.47,67.24,65.40,66.17,66.17,1530799
2024-05-15,DELTA,Energy,81.67,83.30,79.21,80.82,80.81,1393659
2024-07-15,OMEGA,Consumer,117.57,119.41,114.66,116.48,116.46,1389524
2024-10-16,GAMMA,Healthcare,53.46,55.14,52.66,54.32,54.30,1670629
2024-09-24,BETA,Finance,55.13,56.73,54.73,56.32,56.30,1324129
2023-05-31,DELTA,Energy,77.56,81.03,75.76,79.19,79.19,1208087
2024-09-13,BENCH,Benchmark,136.40,138.14,135.61,137.34,137.31,1387520
2024-05-24,ALPHA,Technology,135.69,137.17,128.61,130.03,130.01,2143355
2024-10-21,DELTA,Energy,85.48,87.02,82.69,84.21,84.19,1797116
2023-11-15,GAMMA,Healthcare,44.08,44.89,42.85,43.65,43.64,1686596
2023-05-05,GAMMA,Healthcare,50.63,50.90,49.13,49.39,49.39,1577487
2023-10-06,ALPHA,Technology,107.36,109.61,105.69,107.92,107.91,1732238
2024-11-19,OMEGA,Consumer,105.48,107.57,104.31,106.39,106.36,1495587
2023-08-29,DELTA,Energy,67.54,70.11,65.72,68.27,68.26,1701518
2024-05-10,ALPHA,Technology,119.69,121.85,117.79,119.95,119.94,1567284
2023-09-27,OMEGA,Consumer,95.83,97.47,94.38,96.01,96.01,1449489
2023-12-26,ALPHA,Technology,101.30,103.77,99.31,101.77,101.76,1708303
2023-10-25,DELTA,Energy,77.26,78.25,74.30,75.27,75.26,1165756
2024-02-15,BENCH,Benchmark,126.08,126.94,124.60,125.46,125.44,1423717
2024-07-16,DELTA,Energy,101.03,103.34,98.62,100.93,100.91,1505314
2023-03-27,BETA,Finance,81.87,84.45,80.67,83.23,83.23,1503664
2024-08-22,ALPHA,Technology,104.62,105.85,103.99,105.21,105.19,1703854
2024-07-09,ALPHA,Technology,147.69,151.56,145.56,149.40,149.38,1929805
2024-09-09,ALPHA,Technology,107.70,108.68,106.56,107.54,107.52,1303038
2024-06-07,DELTA,Energy,92.47,94.65,87.23,89.33,89.32,1177299
2023-12-25,ALPHA,Technology,102.31,103.74,99.88,101.30,101.29,1375899
2024-06-24,GAMMA,Healthcare,53.82,54.58,52.96,53.72,53.71,1717322
2023-04-12,DELTA,Energy,81.38,86.89,79.79,85.23,85.23,1430327
2024-03-18,OMEGA,Consumer,108.21,110.03,105.97,107.77,107.76,1408714
2024-06-19,ALPHA,Technology,139.78,144.95,136.70,141.83,141.81,1628081
2023-10-18,ALPHA,Technology,114.02,115.61,112.36,113.95,113.94,1366437
2024-08-27,GAMMA,Healthcare,54.73,55.50,52.45,53.20,53.19,1369344
2024-01-02,GAMMA,Healthcare,42.19,42.65,41.79,42.25,42.24,1647072
2023-03-02,BENCH,Benchmark,113.23,114.71,112.03,113.51,113.51,1638346
2023-06-02,ALPHA,Technology,93.42,94.53,89.12,90.19,90.18,1675044
2024-12-05,OMEGA,Consumer,112.37,115.02,110.91,113.55,113.52,1219981
2024-02-19,OMEGA,Consumer,112.25,113.89,111.04,112.67,112.66,1926317
2023-03-31,DELTA,Energy,78.08,81.69,76.69,80.26,80.26,1740169
2023-03-10,GAMMA,Healthcare,43.35,44.01,41.49,42.13,42.13,1266826
2023-12-05,ALPHA,Technology,99.00,103.47,97.65,102.08,102.07,1677007
2024-09-23,GAMMA,Healthcare,49.29,50.32,48.59,49.62,49.61,1519627
2023-11-24,GAMMA,Healthcare,44.36,45.51,43.67,44.81,44.81,1631599
2024-09-26,BENCH,Benchmark,135.16,137.65,134.21,136.69,136.66,1414757
2023-08-25,OMEGA,Consumer,88.40,89.13,88.25,88.98,88.98,1337824
2024-03-29,BENCH,Benchmark,137.70,140.56,136.62,139.47,139.45,1757195
2023-01-25,DELTA,Energy,61.48,64.07,60.51,63.07,63.07,1255796
2024-08-27,BETA,Finance,57.04,57.57,56.51,57.04,57.03,2059133
2023-07-13,BENCH,Benchmark,110.65,111.49,107.50,108.32,108.31,1466536
2023-04-04,GAMMA,Healthcare,50.35,50.79,49.94,50.38,50.37,2022997
2023-09-06,GAMMA,Healthcare,47.21,47.87,45.98,46.64,46.63,1418368
2024-07-05,OMEGA,Consumer,128.12,129.52,121.71,123.05,123.03,1329789
2024-12-10,GAMMA,Healthcare,62.41,63.90,61.60,63.08,63.07,1369055
2024-10-07,BETA,Finance,58.32,60.35,57.56,59.58,59.57,1678482
2024-05-20,OMEGA,Consumer,116.12,118.69,114.55,117.10,117.09,1742091
